City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Makakilo City,US,21.3469,-158.0858,78.8,47,20,12.66,few clouds
107,Narsaq,GL,60.9167,-46.05,35.6,69,75,2.3,broken clouds
108,Ponta Do Sol,PT,32.6667,-17.1,57.99,72,100,1.99,overcast clouds
109,Polunochnoye,RU,60.8697,60.4153,34.03,99,100,5.46,overcast clouds
110,El Campo,US,29.1966,-96.2697,72.0,88,1,10.36,clear sky
111,Conde,BR,-7.2597,-34.9075,77.0,94,0,4.61,clear sky
112,Berlevag,NO,70.8578,29.0864,33.49,76,100,19.17,light snow
113,Semporna,MY,4.4818,118.6112,78.8,89,20,2.3,moderate rain
114,Khatanga,RU,71.9667,102.5,-0.76,89,100,6.29,overcast clouds
115,Pajapan,MX,18.25,-94.7,74.57,78,0,3.83,clear sky
116,Ahipara,NZ,-35.1667,173.1667,63.27,91,100,12.24,light rain
117,Tessalit,ML,20.1986,1.0114,79.11,12,0,7.23,clear sky
118,Rio De Jesus,PA,7.9844,-81.1631,75.6,84,100,3.29,overcast clouds
119,Fredericksburg,US,38.3032,-77.4605,57.99,72,90,5.75,overcast clouds
120,Yumen,CN,40.2833,97.2,54.88,34,86,11.21,overcast clouds
121,Takaungu,KE,-3.6837,39.8566,78.8,83,20,5.75,few clouds
122,Norman Wells,CA,65.282,-126.8329,14.0,44,75,11.5,broken clouds
123,Albanel,CA,48.8832,-72.4487,48.2,76,100,5.75,overcast clouds
124,Skoropuskovskiy,RU,56.3667,38.1667,32.0,93,90,11.18,overcast clouds
125,Hami,CN,42.8,93.45,62.58,24,100,5.82,overcast clouds
126,Kuytun,RU,54.3419,101.5036,32.02,84,100,8.12,overcast clouds
127,Madras,IN,13.0878,80.2785,80.6,74,20,6.91,haze
128,Saskylakh,RU,71.9167,114.0833,-5.78,98,100,8.28,overcast clouds
129,Zweibrucken,DE,49.25,7.3667,33.8,64,0,1.14,clear sky
130,Westport,US,41.1415,-73.3579,51.01,81,1,6.91,clear sky
131,Puga,MX,21.5833,-104.8167,63.46,61,64,1.54,broken clouds
132,Qaqortoq,GL,60.7167,-46.0333,35.6,69,75,2.3,broken clouds
133,Kologriv,RU,58.8275,44.3178,31.28,90,98,9.57,overcast clouds
134,Katsuura,JP,35.1333,140.3,62.01,50,20,8.05,few clouds
135,Mpika,ZM,-11.8343,31.4529,55.4,98,77,5.82,broken clouds
136,Pulandian,CN,39.3953,121.9669,55.4,22,40,11.18,scattered clouds
137,Ovsyanka,RU,55.9575,92.5519,37.4,75,0,4.47,clear sky
138,Tabou,CI,4.423,-7.3528,78.58,85,66,4.79,broken clouds
139,Vernon,CA,50.2581,-119.2691,48.2,36,59,3.44,broken clouds
140,Jamestown,US,42.097,-79.2353,64.4,48,1,11.5,clear sky
141,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.14,77,86,8.99,overcast clouds
142,Varkkallai,IN,8.7341,76.7067,86.0,74,20,3.44,haze
143,Esperance,AU,-33.8667,121.9,66.2,68,90,12.66,overcast clouds
