City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Itarema,BR,2021-04-06 02:54:22,-2.9248,-39.9167,76.78,85,27,10.2
138,Upernavik,GL,2021-04-06 02:54:54,72.7868,-56.1549,8.13,95,100,5.91
139,Nanortalik,GL,2021-04-06 02:54:55,60.1432,-45.2371,35.35,88,87,5.86
140,Buin,CL,2021-04-06 02:54:55,-33.7333,-70.75,62.01,72,0,9.22
141,Petropavlovsk-Kamchatskiy,RU,2021-04-06 02:54:55,53.0452,158.6483,39.2,41,21,4.47
142,Foki,RU,2021-04-06 02:54:56,56.693,54.3499,31.53,90,100,3.6
143,El Campo,US,2021-04-06 02:54:56,29.1966,-96.2697,69.01,82,75,6.91
144,Belaya Gora,RU,2021-04-06 02:51:04,68.5333,146.4167,5.52,79,100,3.76
145,Inuvik,CA,2021-04-06 02:54:56,68.3499,-133.7218,-4.0,65,100,11.5
146,North Myrtle Beach,US,2021-04-06 02:54:57,33.816,-78.68,60.01,88,1,4.61
147,La Ronge,CA,2021-04-06 02:54:57,55.1001,-105.2842,37.4,44,100,1.14
148,Kodiak,US,2021-04-06 02:54:57,57.79,-152.4072,35.11,46,99,8.05
149,Auki,SB,2021-04-06 02:54:58,-8.7676,160.7034,83.12,79,98,7.7
150,Mount Gambier,AU,2021-04-06 02:53:03,-37.8333,140.7667,69.8,52,19,12.66
151,Jumla,NP,2021-04-06 02:54:58,29.2747,82.1838,58.78,36,47,4.9
152,Yulara,AU,2021-04-06 02:54:58,-25.2406,130.9889,84.2,26,0,12.66
153,Shelburne,CA,2021-04-06 02:54:59,44.0787,-80.2041,39.99,68,42,3.62
154,Bredasdorp,ZA,2021-04-06 02:53:31,-34.5322,20.0403,59.0,94,100,11.5
155,Airai,TL,2021-04-06 02:53:23,-8.9266,125.4092,73.56,55,33,1.99
156,Saint-Philippe,RE,2021-04-06 02:53:28,-21.3585,55.7679,77.0,69,0,6.91
157,Hilo,US,2021-04-06 02:50:57,19.7297,-155.09,70.0,88,90,9.22
158,Colomba,GT,2021-04-06 02:55:00,14.7167,-91.7333,70.0,92,73,2.73
159,Veraval,IN,2021-04-06 02:55:00,20.9,70.3667,81.95,59,0,12.03
160,Esmeraldas,BR,2021-04-06 02:55:00,-19.7625,-44.3139,68.0,77,0,6.91
161,Nizwa,OM,2021-04-06 02:55:01,22.9333,57.5333,79.75,19,5,1.72
162,Mahebourg,MU,2021-04-06 02:55:01,-20.4081,57.7,75.2,88,40,10.22
163,Taunggyi,MM,2021-04-06 02:55:01,20.7833,97.0333,61.5,70,94,3.89
164,Abaza,RU,2021-04-06 02:55:02,52.655,90.0928,47.91,54,1,1.92
165,Christchurch,NZ,2021-04-06 02:55:00,-43.5333,172.6333,66.2,59,0,11.5
166,Surt,LY,2021-04-06 02:55:02,31.2089,16.5887,61.32,77,98,22.17
167,Okhotsk,RU,2021-04-06 02:55:02,59.3833,143.3,21.83,74,39,5.5
168,Uyuni,BO,2021-04-06 02:55:03,-20.4597,-66.825,48.74,43,47,11.39
169,Tura,IN,2021-04-06 02:54:38,25.5198,90.2201,85.98,12,0,4.21
170,Amahai,ID,2021-04-06 02:52:26,-3.3333,128.9167,82.29,73,100,3.0
171,Teodoro Sampaio,BR,2021-04-06 02:55:03,-22.5325,-52.1675,69.1,72,79,5.79
172,Port Macquarie,AU,2021-04-06 02:54:08,-31.4333,152.9167,71.01,95,100,1.01
173,Hambantota,LK,2021-04-06 02:55:04,6.1241,81.1185,80.6,100,74,3.44
174,Santa Marta,CO,2021-04-06 02:53:00,11.2408,-74.199,84.2,65,90,10.36
175,Norman Wells,CA,2021-04-06 02:53:32,65.282,-126.8329,8.6,52,75,17.27
176,Balkanabat,TM,2021-04-06 02:55:04,39.5108,54.3671,64.13,27,3,8.66
177,Gornopravdinsk,RU,2021-04-06 02:55:05,60.05,69.9,32.5,97,100,8.66
178,Bethel,US,2021-04-06 02:55:05,41.3712,-73.414,55.4,26,1,11.5
179,Bengkulu,ID,2021-04-06 02:55:05,-3.8004,102.2655,82.29,70,99,4.14
180,Bakchar,RU,2021-04-06 02:55:06,57.0186,82.0711,35.13,97,100,12.12
181,Dali,CN,2021-04-06 02:55:06,25.7,100.1833,54.72,79,100,4.07
182,Guerrero,MX,2021-04-06 02:55:06,17.6667,-100.0,65.35,86,35,4.7
183,Itupiranga,BR,2021-04-06 02:55:07,-5.1347,-49.3267,73.29,96,98,2.64
184,Lorengau,PG,2021-04-06 02:55:07,-2.0226,147.2712,83.19,74,92,4.21
185,Panguna,PG,2021-04-06 02:55:08,-6.3164,155.4848,76.28,87,70,1.1
