City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Qaqortoq,GL,35.6,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
133,Kologriv,RU,31.28,overcast clouds,58.8275,44.3178,Postoyalyy Dvor
134,Katsuura,JP,62.01,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
135,Mpika,ZM,55.4,broken clouds,-11.8343,31.4529,Melodies Lodge
136,Pulandian,CN,55.4,scattered clouds,39.3953,121.9669,HR East Hotel
137,Ovsyanka,RU,37.4,clear sky,55.9575,92.5519,Hotel Alsey Krasnoyarsk
138,Tabou,CI,78.58,broken clouds,4.423,-7.3528,hotêl doufoulougou
139,Vernon,CA,48.2,broken clouds,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
140,Jamestown,US,64.4,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
141,Sao Jose Da Coroa Grande,BR,79.14,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
142,Varkkallai,IN,86.0,haze,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
143,Esperance,AU,66.2,overcast clouds,-33.8667,121.9,Hospitality Esperance
144,Rio Gallegos,AR,39.2,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
145,Oranjemund,,60.42,few clouds,-28.55,16.4333,The Fisherman's Cove
146,Sydney Mines,CA,41.0,broken clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
148,Breves,BR,74.32,moderate rain,-1.6822,-50.4803,Hotel e Restaurante Grill
149,Kapaa,US,78.8,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
150,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
151,Paamiut,GL,32.77,overcast clouds,61.994,-49.6678,Yeet Hotel
152,Kolondieba,ML,80.89,clear sky,11.0882,-6.8926,Hotel Dakan
153,Notre-Dame-Du-Lac,CA,50.0,overcast clouds,47.6136,-68.7964,Auberge La Dolce Vita
154,Geraldton,AU,78.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
155,Karratha,AU,84.25,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
157,Marystown,CA,43.93,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
158,Yellowknife,CA,10.4,few clouds,62.456,-114.3525,The Explorer Hotel
159,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
160,Huilong,CN,64.0,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
161,San Cristobal,VE,75.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
162,Henties Bay,,68.81,clear sky,-22.116,14.2845,Fishermans Guest House
163,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
